Time between frames (s): 0.1
Time (s): 0
# NucRegions: 
# xmin, ymin, xmax, ymax
!NC, -1e-06, -1e-06, 1e-06
nActin: 10 nSubunits: 30
# actinID, SubunitID, birthtime (s), xStart (m), yStart (m), xEnd (m), yEnd (m), pointed capped, barbed capped, branch
0, 0, 0, -7.94228394e-07, -8.684261844e-07, -7.954347118e-07, -8.66799709e-07, 0, 0, 0
0, 1, 0, -7.954347118e-07, -8.66799709e-07, -7.978473475e-07, -8.635467582e-07, 0, 0, 0
0, 2, 0, -7.978473475e-07, -8.635467582e-07, -7.990536654e-07, -8.619202828e-07, 0, 0, 0
1, 3, 0, -1.105202895e-06, -1.116660606e-06, -1.106882051e-06, -1.117792446e-06, 0, 0, 0
1, 4, 0, -1.106882051e-06, -1.117792446e-06, -1.110240362e-06, -1.120056126e-06, 0, 0, 0
1, 5, 0, -1.110240362e-06, -1.120056126e-06, -1.111919518e-06, -1.121187966e-06, 0, 0, 0
2, 6, 0, -1.109131756e-06, -7.681110983e-07, -1.111033193e-06, -7.674145631e-07, 0, 0, 0
2, 7, 0, -1.111033193e-06, -7.674145631e-07, -1.114836067e-06, -7.660214926e-07, 0, 0, 0
2, 8, 0, -1.114836067e-06, -7.660214926e-07, -1.116737505e-06, -7.653249574e-07, 0, 0, 0
3, 9, 0, -6.696850733e-07, -6.949429176e-07, -6.692262933e-07, -6.929705723e-07, 0, 0, 0
3, 10, 0, -6.692262933e-07, -6.929705723e-07, -6.683087333e-07, -6.890258817e-07, 0, 0, 0
3, 11, 0, -6.683087333e-07, -6.890258817e-07, -6.678499533e-07, -6.870535364e-07, 0, 0, 0
4, 12, 0, -1.009310638e-06, -1.019053758e-06, -1.009430372e-06, -1.021075215e-06, 0, 0, 0
4, 13, 0, -1.009430372e-06, -1.021075215e-06, -1.009669839e-06, -1.02511813e-06, 0, 0, 0
4, 14, 0, -1.009669839e-06, -1.02511813e-06, -1.009789572e-06, -1.027139587e-06, 0, 0, 0
5, 15, 0, -4.8053473e-07, -1.709104174e-06, -4.823951179e-07, -1.709903913e-06, 0, 0, 0
5, 16, 0, -4.823951179e-07, -1.709903913e-06, -4.861158937e-07, -1.71150339e-06, 0, 0, 0
5, 17, 0, -4.861158937e-07, -1.71150339e-06, -4.879762816e-07, -1.712303129e-06, 0, 0, 0
6, 18, 0, -1.012180576e-06, -2.474506902e-07, -1.012962987e-06, -2.45582949e-07, 0, 0, 0
6, 19, 0, -1.012962987e-06, -2.45582949e-07, -1.01452781e-06, -2.418474665e-07, 0, 0, 0
6, 20, 0, -1.01452781e-06, -2.418474665e-07, -1.015310221e-06, -2.399797253e-07, 0, 0, 0
7, 21, 0, -1.622413138e-06, -1.09899232e-06, -1.623726442e-06, -1.100533702e-06, 0, 0, 0
7, 22, 0, -1.623726442e-06, -1.100533702e-06, -1.626353049e-06, -1.103616466e-06, 0, 0, 0
7, 23, 0, -1.626353049e-06, -1.103616466e-06, -1.627666353e-06, -1.105157848e-06, 0, 0, 0
8, 24, 0, -9.051657441e-07, -1.079638256e-06, -9.053322873e-07, -1.081656396e-06, 0, 0, 0
8, 25, 0, -9.053322873e-07, -1.081656396e-06, -9.056653736e-07, -1.085692676e-06, 0, 0, 0
8, 26, 0, -9.056653736e-07, -1.085692676e-06, -9.058319168e-07, -1.087710816e-06, 0, 0, 0
9, 27, 0, -9.634032112e-07, -7.106090649e-07, -9.651347425e-07, -7.116590289e-07, 0, 0, 0
9, 28, 0, -9.651347425e-07, -7.116590289e-07, -9.68597805e-07, -7.137589568e-07, 0, 0, 0
9, 29, 0, -9.68597805e-07, -7.137589568e-07, -9.703293363e-07, -7.148089208e-07, 0, 0, 0
#--------------------------------------------------
Time (s): 0.1
# NucRegions: 
# xmin, ymin, xmax, ymax
!NC, -1e-06, -1e-06, 1e-06
nActin: 10 nSubunits: 30
# actinID, SubunitID, birthtime (s), xStart (m), yStart (m), xEnd (m), yEnd (m), pointed capped, barbed capped, branch
0, 0, 0, -7.94228394e-07, -8.684261844e-07, -7.954347118e-07, -8.66799709e-07, 0, 0, 0
0, 1, 0, -7.954347118e-07, -8.66799709e-07, -7.978473475e-07, -8.635467582e-07, 0, 0, 0
0, 2, 0, -7.978473475e-07, -8.635467582e-07, -7.990536654e-07, -8.619202828e-07, 0, 0, 0
1, 3, 0, -1.105202895e-06, -1.116660606e-06, -1.106882051e-06, -1.117792446e-06, 0, 0, 0
1, 4, 0, -1.106882051e-06, -1.117792446e-06, -1.110240362e-06, -1.120056126e-06, 0, 0, 0
1, 5, 0, -1.110240362e-06, -1.120056126e-06, -1.111919518e-06, -1.121187966e-06, 0, 0, 0
2, 6, 0, -1.106596506e-06, -7.69039812e-07, -1.109131756e-06, -7.681110983e-07, 0, 0, 0
2, 7, 0, -1.109131756e-06, -7.681110983e-07, -1.114202255e-06, -7.662536711e-07, 0, 0, 0
2, 8, 0, -1.114202255e-06, -7.662536711e-07, -1.116737505e-06, -7.653249574e-07, 0, 0, 0
3, 9, 0, -6.696850733e-07, -6.949429176e-07, -6.6892044e-07, -6.916556754e-07, 0, 0, 0
3, 10, 0, -6.6892044e-07, -6.916556754e-07, -6.673911734e-07, -6.850811911e-07, 0, 0, 0
3, 11, 0, -6.673911734e-07, -6.850811911e-07, -6.666265401e-07, -6.81793949e-07, 0, 0, 0
4, 12, 0, -1.009150993e-06, -1.016358482e-06, -1.00939046e-06, -1.020401396e-06, 0, 0, 0
4, 13, 0, -1.00939046e-06, -1.020401396e-06, -1.009869395e-06, -1.028487225e-06, 0, 0, 0
4, 14, 0, -1.009869395e-06, -1.028487225e-06, -1.010108862e-06, -1.032530139e-06, 0, 0, 0
5, 15, 0, -4.8053473e-07, -1.709104174e-06, -4.823951179e-07, -1.709903913e-06, 0, 0, 0
5, 16, 0, -4.823951179e-07, -1.709903913e-06, -4.861158937e-07, -1.71150339e-06, 0, 0, 0
5, 17, 0, -4.861158937e-07, -1.71150339e-06, -4.879762816e-07, -1.712303129e-06, 0, 0, 0
6, 18, 0, -1.01113736e-06, -2.499410119e-07, -1.012441379e-06, -2.468281098e-07, 0, 0, 0
6, 19, 0, -1.012441379e-06, -2.468281098e-07, -1.015049418e-06, -2.406023057e-07, 0, 0, 0
6, 20, 0, -1.015049418e-06, -2.406023057e-07, -1.016353437e-06, -2.374894037e-07, 0, 0, 0
7, 21, 0, -1.622413138e-06, -1.09899232e-06, -1.62416421e-06, -1.101047496e-06, 0, 0, 0
7, 22, 0, -1.62416421e-06, -1.101047496e-06, -1.627666353e-06, -1.105157848e-06, 0, 0, 0
7, 23, 0, -1.627666353e-06, -1.105157848e-06, -1.629417424e-06, -1.107213024e-06, 0, 0, 0
8, 24, 0, -9.051657441e-07, -1.079638256e-06, -9.056098592e-07, -1.085019963e-06, 0, 0, 0
8, 25, 0, -9.056098592e-07, -1.085019963e-06, -9.064980896e-07, -1.095783375e-06, 0, 0, 0
8, 26, 0, -9.064980896e-07, -1.095783375e-06, -9.069422047e-07, -1.101165081e-06, 0, 0, 0
9, 27, 0, -9.634032112e-07, -7.106090649e-07, -9.657119196e-07, -7.120090169e-07, 0, 0, 0
9, 28, 0, -9.657119196e-07, -7.120090169e-07, -9.703293363e-07, -7.148089208e-07, 0, 0, 0
9, 29, 0, -9.703293363e-07, -7.148089208e-07, -9.726380447e-07, -7.162088728e-07, 0, 0, 0
#--------------------------------------------------
Time (s): 0.2
# NucRegions: 
# xmin, ymin, xmax, ymax
!NC, -1e-06, -1e-06, 1e-06
nActin: 10 nSubunits: 30
# actinID, SubunitID, birthtime (s), xStart (m), yStart (m), xEnd (m), yEnd (m), pointed capped, barbed capped, branch
0, 0, 0, -7.94228394e-07, -8.684261844e-07, -7.958368178e-07, -8.662575505e-07, 0, 0, 0
0, 1, 0, -7.958368178e-07, -8.662575505e-07, -7.990536654e-07, -8.619202828e-07, 0, 0, 0
0, 2, 0, -7.990536654e-07, -8.619202828e-07, -8.006620892e-07, -8.597516489e-07, 0, 0, 0
1, 3, 0, -1.105202895e-06, -1.116660606e-06, -1.10744177e-06, -1.118169726e-06, 0, 0, 0
1, 4, 0, -1.10744177e-06, -1.118169726e-06, -1.111919518e-06, -1.121187966e-06, 0, 0, 0
1, 5, 0, -1.111919518e-06, -1.121187966e-06, -1.114158392e-06, -1.122697085e-06, 0, 0, 0
2, 6, 0, -1.109131756e-06, -7.681110983e-07, -1.111033193e-06, -7.674145631e-07, 0, 0, 0
2, 7, 0, -1.111033193e-06, -7.674145631e-07, -1.114836067e-06, -7.660214926e-07, 0, 0, 0
2, 8, 0, -1.114836067e-06, -7.660214926e-07, -1.116737505e-06, -7.653249574e-07, 0, 0, 0
3, 9, 0, -6.696850733e-07, -6.949429176e-07, -6.687675133e-07, -6.90998227e-07, 0, 0, 0
3, 10, 0, -6.687675133e-07, -6.90998227e-07, -6.669323934e-07, -6.831088459e-07, 0, 0, 0
3, 11, 0, -6.669323934e-07, -6.831088459e-07, -6.660148334e-07, -6.791641553e-07, 0, 0, 0
4, 12, 0, -1.009150993e-06, -1.016358482e-06, -1.009430372e-06, -1.021075215e-06, 0, 0, 0
4, 13, 0, -1.009430372e-06, -1.021075215e-06, -1.009989128e-06, -1.030508682e-06, 0, 0, 0
4, 14, 0, -1.009989128e-06, -1.030508682e-06, -1.010268507e-06, -1.035225415e-06, 0, 0, 0
5, 15, 0, -4.8053473e-07, -1.709104174e-06, -4.830152472e-07, -1.710170492e-06, 0, 0, 0
5, 16, 0, -4.830152472e-07, -1.710170492e-06, -4.879762816e-07, -1.712303129e-06, 0, 0, 0
5, 17, 0, -4.879762816e-07, -1.712303129e-06, -4.904567988e-07, -1.713369447e-06, 0, 0, 0
6, 18, 0, -1.010094145e-06, -2.524313335e-07, -1.011919772e-06, -2.480732707e-07, 0, 0, 0
6, 19, 0, -1.011919772e-06, -2.480732707e-07, -1.015571025e-06, -2.393571449e-07, 0, 0, 0
6, 20, 0, -1.015571025e-06, -2.393571449e-07, -1.017396652e-06, -2.34999082e-07, 0, 0, 0
7, 21, 0, -1.622413138e-06, -1.09899232e-06, -1.625039745e-06, -1.102075084e-06, 0, 0, 0
7, 22, 0, -1.625039745e-06, -1.102075084e-06, -1.63029296e-06, -1.108240612e-06, 0, 0, 0
7, 23, 0, -1.63029296e-06, -1.108240612e-06, -1.632919567e-06, -1.111323376e-06, 0, 0, 0
8, 24, 0, -9.051657441e-07, -1.079638256e-06, -9.056653736e-07, -1.085692676e-06, 0, 0, 0
8, 25, 0, -9.056653736e-07, -1.085692676e-06, -9.066646327e-07, -1.097801515e-06, 0, 0, 0
8, 26, 0, -9.066646327e-07, -1.097801515e-06, -9.071642623e-07, -1.103855934e-06, 0, 0, 0
9, 27, 0, -9.634032112e-07, -7.106090649e-07, -9.657119196e-07, -7.120090169e-07, 0, 0, 0
9, 28, 0, -9.657119196e-07, -7.120090169e-07, -9.703293363e-07, -7.148089208e-07, 0, 0, 0
9, 29, 0, -9.703293363e-07, -7.148089208e-07, -9.726380447e-07, -7.162088728e-07, 0, 0, 0
#--------------------------------------------------
Time (s): 0.3
# NucRegions: 
# xmin, ymin, xmax, ymax
!NC, -1e-06, -1e-06, 1e-06
nActin: 10 nSubunits: 30
# actinID, SubunitID, birthtime (s), xStart (m), yStart (m), xEnd (m), yEnd (m), pointed capped, barbed capped, branch
0, 0, 0, -7.94228394e-07, -8.684261844e-07, -7.958368178e-07, -8.662575505e-07, 0, 0, 0
0, 1, 0, -7.958368178e-07, -8.662575505e-07, -7.990536654e-07, -8.619202828e-07, 0, 0, 0
